b0,f_V,dt_excess_Myr,destroyed
0.018000000000000002,0.34199999999999997,0.0,1.0
0.02,0.34199999999999997,0.0,1.0
0.022,0.34199999999999997,0.0,1.0
0.024,0.34199999999999997,0.0,1.0
0.026000000000000002,0.34199999999999997,0.0,1.0
0.028,0.34199999999999997,0.0,1.0
0.03,0.34199999999999997,0.0,1.0
0.032,0.34199999999999997,0.0,1.0
0.034,0.34199999999999997,0.0,1.0
0.036000000000000004,0.34199999999999997,0.0,1.0
0.038,0.34199999999999997,0.0,1.0
0.04,0.34199999999999997,0.0,1.0
0.042,0.34199999999999997,0.0,1.0
0.044,0.34199999999999997,0.0,1.0
0.046,0.34199999999999997,0.0,1.0
0.048,0.34199999999999997,0.0,1.0
0.05,0.34199999999999997,0.0,1.0
0.052000000000000005,0.34199999999999997,0.0,1.0
0.054,0.34199999999999997,0.0,1.0
0.056,0.34199999999999997,0.0,1.0
0.058,0.34199999999999997,0.0,1.0
0.06,0.34199999999999997,0.0,1.0
0.062,0.34199999999999997,0.0,1.0
0.064,0.34199999999999997,0.0,1.0
0.066,0.34199999999999997,0.0,1.0
0.068,0.34199999999999997,0.0,1.0
0.07,0.34199999999999997,0.0,1.0
0.07200000000000001,0.34199999999999997,0.0,1.0
0.074,0.34199999999999997,0.0,1.0
0.076,0.34199999999999997,0.0,1.0
0.078,0.34199999999999997,0.0,1.0
0.08,0.34199999999999997,0.0,1.0
0.082,0.34199999999999997,0.0,1.0
0.084,0.34199999999999997,0.0,1.0
0.08600000000000001,0.34199999999999997,0.0,1.0
0.088,0.34199999999999997,0.0,1.0
0.09,0.34199999999999997,0.0,1.0
0.092,0.34199999999999997,0.0,1.0
0.094,0.34199999999999997,0.0,1.0
0.096,0.34199999999999997,0.0,1.0
0.098,0.34199999999999997,0.0,1.0
0.1,0.34199999999999997,0.0,1.0
0.10200000000000001,0.34199999999999997,0.0,1.0
0.10400000000000001,0.34199999999999997,0.0,1.0
0.106,0.34199999999999997,0.0,1.0
0.108,0.34199999999999997,0.0,1.0
0.11,0.34199999999999997,0.0,1.0
0.112,0.34199999999999997,0.0,1.0
0.114,0.34199999999999997,0.0,1.0
0.116,0.34199999999999997,0.0,1.0
0.11800000000000001,0.34199999999999997,0.0,1.0
0.12,0.34199999999999997,0.0,1.0
0.122,0.34199999999999997,0.0,1.0
0.124,0.34199999999999997,0.0,1.0
0.126,0.34199999999999997,0.0,1.0
0.128,0.34199999999999997,0.0,1.0
0.13,0.34199999999999997,0.0,1.0
0.132,0.34199999999999997,0.0,1.0
0.134,0.34199999999999997,0.0,1.0
0.136,0.34199999999999997,0.0,1.0
0.138,0.34199999999999997,0.0,1.0
0.14,0.34199999999999997,0.0,1.0
0.14200000000000002,0.34199999999999997,0.0,1.0
