t_Myr,M_base_Msun,M_rB_up20,M_rB_down20,M_lambdaEdd4
1.820820820820820973e+00,1.375615615615615807e+07,1.648738738738738932e+07,1.102492492492492683e+07,1.830820820820821449e+07
1.837837837837837940e+00,1.388378378378378600e+07,1.664054054054054245e+07,1.112702702702702954e+07,1.847837837837838382e+07
1.854854854854855128e+00,1.401141141141141392e+07,1.679369369369369745e+07,1.122912912912913226e+07,1.864854854854855686e+07
1.871871871871872095e+00,1.413903903903904185e+07,1.694684684684684873e+07,1.133123123123123311e+07,1.881871871871872619e+07
1.888888888888889062e+00,1.426666666666666791e+07,1.710000000000000373e+07,1.143333333333333582e+07,1.898888888888889551e+07
1.905905905905906028e+00,1.439429429429429583e+07,1.725315315315315500e+07,1.153543543543543667e+07,1.915905905905906484e+07
1.922922922922922995e+00,1.452192192192192376e+07,1.740630630630630627e+07,1.163753753753753938e+07,1.932922922922923416e+07
1.939939939939940183e+00,1.464954954954955168e+07,1.755945945945946127e+07,1.173963963963964209e+07,1.949939939939940721e+07
1.956956956956957150e+00,1.477717717717717960e+07,1.771261261261261627e+07,1.184174174174174480e+07,1.966956956956957653e+07
1.973973973973974116e+00,1.490480480480480567e+07,1.786576576576576754e+07,1.194384384384384565e+07,1.983973973973974586e+07
1.990990990990991083e+00,1.503243243243243359e+07,1.801891891891891882e+07,1.204594594594594836e+07,2.000990990990991518e+07
2.008008008008008272e+00,1.516006006006006338e+07,1.817207207207207382e+07,1.214804804804805107e+07,2.018008008008008450e+07
2.025025025025025016e+00,1.528768768768768758e+07,1.832522522522522509e+07,1.225015015015015006e+07,2.035025025025025383e+07
2.042042042042042205e+00,1.541531531531531736e+07,1.847837837837838009e+07,1.235225225225225464e+07,2.052042042042042688e+07
2.059059059059059393e+00,1.554294294294294715e+07,1.863153153153153509e+07,1.245435435435435921e+07,2.069059059059059620e+07
2.076076076076076138e+00,1.567057057057057135e+07,1.878468468468468636e+07,1.255645645645645820e+07,2.086076076076076552e+07
2.093093093093093326e+00,1.579819819819820113e+07,1.893783783783784136e+07,1.265855855855856091e+07,2.103093093093093857e+07
2.110110110110110515e+00,1.592582582582582906e+07,1.909099099099099636e+07,1.276066066066066548e+07,2.120110110110110790e+07
2.127127127127127260e+00,1.605345345345345512e+07,1.924414414414414763e+07,1.286276276276276633e+07,2.137127127127127722e+07
2.144144144144144448e+00,1.618108108108108491e+07,1.939729729729729891e+07,1.296486486486486718e+07,2.154144144144144654e+07
2.161161161161161193e+00,1.630870870870871097e+07,1.955045045045045018e+07,1.306696696696696803e+07,2.171161161161161587e+07
2.178178178178178381e+00,1.643633633633633703e+07,1.970360360360360518e+07,1.316906906906907260e+07,2.188178178178178892e+07
2.195195195195195570e+00,1.656396396396396682e+07,1.985675675675676018e+07,1.327117117117117345e+07,2.205195195195195824e+07
2.212212212212212314e+00,1.669159159159159288e+07,2.000990990990991145e+07,1.337327327327327430e+07,2.222212212212212756e+07
2.229229229229229503e+00,1.681921921921922266e+07,2.016306306306306645e+07,1.347537537537537888e+07,2.239229229229230061e+07
2.246246246246246248e+00,1.694684684684684873e+07,2.031621621621621773e+07,1.357747747747747973e+07,2.256246246246246621e+07
2.263263263263263436e+00,1.707447447447447479e+07,2.046936936936937273e+07,1.367957957957958058e+07,2.273263263263263926e+07
2.280280280280280625e+00,1.720210210210210457e+07,2.062252252252252400e+07,1.378168168168168515e+07,2.290280280280280858e+07
2.297297297297297369e+00,1.732972972972973064e+07,2.077567567567567527e+07,1.388378378378378600e+07,2.307297297297297791e+07
2.314314314314314558e+00,1.745735735735736042e+07,2.092882882882883027e+07,1.398588588588588871e+07,2.324314314314315096e+07
2.331331331331331747e+00,1.758498498498499021e+07,2.108198198198198527e+07,1.408798798798799142e+07,2.341331331331332028e+07
2.348348348348348491e+00,1.771261261261261255e+07,2.123513513513513654e+07,1.419009009009009227e+07,2.358348348348348960e+07
2.365365365365365680e+00,1.784024024024024233e+07,2.138828828828829154e+07,1.429219219219219498e+07,2.375365365365366265e+07
2.382382382382382424e+00,1.796786786786786839e+07,2.154144144144144282e+07,1.439429429429429583e+07,2.392382382382382825e+07
2.399399399399399613e+00,1.809549549549549818e+07,2.169459459459459782e+07,1.449639639639639854e+07,2.409399399399400130e+07
2.416416416416416801e+00,1.822312312312312797e+07,2.184774774774775282e+07,1.459849849849850312e+07,2.426416416416417062e+07
2.433433433433433546e+00,1.835075075075075030e+07,2.200090090090090036e+07,1.470060060060060211e+07,2.443433433433433995e+07
2.450450450450450735e+00,1.847837837837838009e+07,2.215405405405405536e+07,1.480270270270270482e+07,2.460450450450451300e+07
2.467467467467467479e+00,1.860600600600600615e+07,2.230720720720720664e+07,1.490480480480480567e+07,2.477467467467468232e+07
2.484484484484484668e+00,1.873363363363363594e+07,2.246036036036036164e+07,1.500690690690691024e+07,2.494484484484485164e+07
2.501501501501501856e+00,1.886126126126126572e+07,2.261351351351351663e+07,1.510900900900901295e+07,2.511501501501502469e+07
2.518518518518518601e+00,1.898888888888889179e+07,2.276666666666666791e+07,1.521111111111111194e+07,2.528518518518519029e+07
2.535535535535535789e+00,1.911651651651651785e+07,2.291981981981982291e+07,1.531321321321321651e+07,2.545535535535536334e+07
2.552552552552552978e+00,1.924414414414414763e+07,2.307297297297297791e+07,1.541531531531531923e+07,2.562552552552553266e+07
2.569569569569569722e+00,1.937177177177177370e+07,2.322612612612612918e+07,1.551741741741742007e+07,2.579569569569570199e+07
2.586586586586586911e+00,1.949939939939940348e+07,2.337927927927928418e+07,1.561951951951952279e+07,2.596586586586587131e+07
2.603603603603603656e+00,1.962702702702702954e+07,2.353243243243243173e+07,1.572162162162162364e+07,2.613603603603604436e+07
2.620620620620620844e+00,1.975465465465465933e+07,2.368558558558558673e+07,1.582372372372372635e+07,2.630620620620621368e+07
2.637637637637638033e+00,1.988228228228228539e+07,2.383873873873874173e+07,1.592582582582582906e+07,2.647637637637638673e+07
2.654654654654654777e+00,2.000990990990991145e+07,2.399189189189188927e+07,1.602792792792792991e+07,2.664654654654655233e+07
2.671671671671671966e+00,2.013753753753754124e+07,2.414504504504504800e+07,1.613003003003003262e+07,2.681671671671672538e+07
2.688688688688689155e+00,2.026516516516517103e+07,2.429819819819819927e+07,1.623213213213213533e+07,2.698688688688689843e+07
2.705705705705705899e+00,2.039279279279279709e+07,2.445135135135135055e+07,1.633423423423423618e+07,2.715705705705706403e+07
2.722722722722723088e+00,2.052042042042042315e+07,2.460450450450450927e+07,1.643633633633634076e+07,2.732722722722723708e+07
2.739739739739739832e+00,2.064804804804804921e+07,2.475765765765765682e+07,1.653843843843843974e+07,2.749739739739740640e+07
2.756756756756757021e+00,2.077567567567567900e+07,2.491081081081081182e+07,1.664054054054054245e+07,2.766756756756757572e+07
2.773773773773774209e+00,2.090330330330330878e+07,2.506396396396396682e+07,1.674264264264264703e+07,2.783773773773774877e+07
2.790790790790790954e+00,2.103093093093093485e+07,2.521711711711711437e+07,1.684474474474474788e+07,2.800790790790791437e+07
2.807807807807808143e+00,2.115855855855856091e+07,2.537027027027027309e+07,1.694684684684684873e+07,2.817807807807808742e+07
2.824824824824824887e+00,2.128618618618618697e+07,2.552342342342342436e+07,1.704894894894894958e+07,2.834824824824825674e+07
